budget,result_q1,result_q2,result_q3,sens _q1,sens_q2,sens_q3
0.1,Lethal Weapon 4 ,"['The Interpreter\xa0', 'The Passion of the Christ\xa0', 'Ip Man 3\xa0', 'Black Book\xa0', 'xXx\xa0', 'The Great Raid\xa0', 'The Horseman on the Roof\xa0', 'Earth\xa0', 'The Adventures of Pinocchio\xa0', 'Ponyo\xa0', 'Nomad: The Warrior\xa0', 'Red Cliff\xa0', 'Apocalypto\xa0', 'Biutiful\xa0', 'Baahubali: The Beginning\xa0']","['Chile', 'New Line', 'Ireland']",760505847.0,760505847.0,1680
1.0,The Lion King ,"['The Interpreter\xa0', 'The Passion of the Christ\xa0', 'Kung Fu Killer\xa0', 'Black Book\xa0', 'Cellular\xa0', 'The Great Raid\xa0', 'Little White Lies\xa0', 'Earth\xa0', 'The Adventures of Pinocchio\xa0', ""Howl's Moving Castle\xa0"", 'Nomad: The Warrior\xa0', 'The Grandmaster\xa0', 'Apocalypto\xa0', 'Biutiful\xa0', 'Baahubali: The Beginning\xa0']","['Australia', 'China', 'South Korea']",760505847.0,760505847.0,1680
10.0,G-Force ,"['The Interpreter\xa0', 'The Passion of the Christ\xa0', 'Ip Man 3\xa0', 'Black Book\xa0', 'Mission: Impossible II\xa0', 'The Great Raid\xa0', 'Oceans\xa0', 'Earth\xa0', 'The Adventures of Pinocchio\xa0', 'Ponyo\xa0', 'Nomad: The Warrior\xa0', 'Curse of the Golden Flower\xa0', 'Apocalypto\xa0', 'The Legend of Zorro\xa0', 'Baahubali: The Beginning\xa0']","['Mexico', 'USA', 'Hong Kong']",760505847.0,760505847.0,1680
